taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
3433;12/9/2016 6:00:00 PM;60;0;3.25;0;készpénz
4680;12/9/2016 6:15:00 PM;480;0;6.25;0;készpénz
7517;12/9/2016 6:45:00 PM;840;0;9.25;0;készpénz
279;12/9/2016 8:00:00 PM;300;0;5.25;2;bankkártya
1563;12/9/2016 8:45:00 PM;780;0;12.75;0;készpénz
710;12/9/2016 9:45:00 PM;540;0;10.25;0;készpénz
7066;12/9/2016 11:30:00 PM;900;0;14.25;0;készpénz
1322;12/10/2016 1:45:00 AM;540;0;7.75;0;készpénz
7541;12/10/2016 11:30:00 AM;300;0;5.5;0;készpénz
3612;12/10/2016 12:45:00 PM;420;0;6.5;0;készpénz
4106;12/10/2016 4:45:00 PM;660;0;7.5;2;bankkártya
1463;12/10/2016 6:15:00 PM;300;0;5.25;0;készpénz
7415;12/10/2016 6:45:00 PM;780;0;10;0;készpénz
3514;12/10/2016 8:45:00 PM;240;0;4.75;0;készpénz
973;12/10/2016 11:00:00 PM;60;0;3.5;0;készpénz
5812;12/10/2016 11:00:00 PM;480;0;6.75;0;készpénz
2421;12/11/2016 12:15:00 AM;60;0;3.75;0;készpénz
7528;12/11/2016 12:30:00 AM;660;0;10.25;0;készpénz
625;12/11/2016 5:00:00 AM;1500;0;45.25;13.55;bankkártya
5472;12/11/2016 5:45:00 PM;360;0;6.75;1;bankkártya
7210;12/12/2016 2:45:00 PM;540;0;7.5;2;bankkártya
376;12/12/2016 7:00:00 PM;480;0;6.25;0;készpénz
686;12/12/2016 11:30:00 PM;360;0;6.25;0;készpénz
6317;12/13/2016 10:45:00 AM;300;0;5;0;készpénz
8648;12/13/2016 11:15:00 AM;1020;0;11;1;bankkártya
505;12/13/2016 11:30:00 AM;420;0;6.75;0;készpénz
2877;12/13/2016 12:00:00 PM;600;0;8;0;készpénz
1152;12/13/2016 2:15:00 PM;540;0;6.75;0;készpénz
7210;12/13/2016 2:30:00 PM;720;0;8;0;készpénz
6407;12/13/2016 2:30:00 PM;480;0;7.25;2;bankkártya
5367;12/13/2016 3:45:00 PM;1080;0;14.75;0;készpénz
4107;12/13/2016 4:00:00 PM;180;0;5;0;készpénz
2888;12/13/2016 5:15:00 PM;1620;0;16.25;0;készpénz
4770;12/13/2016 5:45:00 PM;600;0;11.25;0;készpénz
8546;12/13/2016 6:00:00 PM;540;0;6.25;0;készpénz
5114;12/13/2016 6:15:00 PM;5100;0;48.75;6;bankkártya
4359;12/13/2016 7:00:00 PM;780;0;7.5;0;készpénz
3862;12/13/2016 7:00:00 PM;420;0;6.25;0;készpénz
2175;12/13/2016 7:15:00 PM;840;0;8.75;0;készpénz
4870;12/13/2016 8:15:00 PM;120;0;3.75;0;készpénz
7355;12/13/2016 9:45:00 PM;300;0;5.75;0;készpénz
1383;12/14/2016 3:00:00 AM;180;0;4.75;0;készpénz
3040;12/14/2016 9:15:00 AM;900;0;13;2;bankkártya
6317;12/14/2016 9:45:00 AM;420;0;6.75;2;bankkártya
2041;12/14/2016 12:45:00 PM;420;0;6.5;1;bankkártya
760;12/14/2016 1:45:00 PM;60;0;4;0;készpénz
393;12/14/2016 3:15:00 PM;600;0;7.25;0;készpénz
6749;12/14/2016 4:15:00 PM;360;0;6;0;készpénz
7092;12/14/2016 5:15:00 PM;780;0;9;2;bankkártya
7748;12/14/2016 6:00:00 PM;1020;0;9.5;2;bankkártya
8661;12/14/2016 6:30:00 PM;60;0;3.25;0;készpénz
8016;12/14/2016 6:30:00 PM;1140;0;13.75;2.95;bankkártya
1243;12/14/2016 8:00:00 PM;780;0;8.25;3;bankkártya
2918;12/14/2016 8:15:00 PM;540;0;7;1.4;bankkártya
1347;12/15/2016 5:00:00 AM;60;0;3.25;0;készpénz
7523;12/15/2016 8:45:00 AM;1740;0;20;5;bankkártya
1262;12/15/2016 10:00:00 AM;240;0;5;0;készpénz
4872;12/15/2016 12:30:00 PM;540;0;7.5;0;készpénz
1751;12/15/2016 1:45:00 PM;660;0;9;0;készpénz
8397;12/15/2016 2:00:00 PM;335;0;5;0;készpénz
3891;12/15/2016 6:45:00 PM;240;0;5.25;0;készpénz
2066;12/15/2016 8:30:00 PM;240;0;6;1;bankkártya
5796;12/15/2016 9:00:00 PM;300;0;5.75;2;bankkártya
1164;12/15/2016 10:15:00 PM;360;0;6.75;2;bankkártya
5636;12/16/2016 12:30:00 AM;660;0;8;1;bankkártya
5143;12/16/2016 1:30:00 AM;300;0;7;2;bankkártya
7210;12/16/2016 8:00:00 AM;360;0;5.75;0;készpénz
5400;12/16/2016 8:45:00 AM;300;0;5.25;2;bankkártya
548;12/16/2016 9:30:00 AM;360;0;6;0;készpénz
2448;12/16/2016 12:15:00 PM;540;0;8.25;2;bankkártya
6744;12/16/2016 1:00:00 PM;420;0;6.25;2;bankkártya
2663;12/16/2016 1:15:00 PM;11;0;3.25;0;készpénz
8648;12/16/2016 2:45:00 PM;2160;0;27.75;4;bankkártya
629;12/16/2016 3:45:00 PM;1200;0;13.5;0;készpénz
6317;12/16/2016 5:00:00 PM;840;0;8.75;0;készpénz
3238;12/16/2016 6:00:00 PM;1140;0;9.75;0;készpénz
6830;12/16/2016 7:00:00 PM;60;0;3.25;0;készpénz
3356;12/16/2016 10:00:00 PM;660;0;14.25;0;készpénz
8232;12/16/2016 10:00:00 PM;1140;0;14;0;készpénz
6;12/16/2016 11:30:00 PM;840;0;20.5;5.35;bankkártya
4106;12/17/2016 9:00:00 AM;420;0;8.25;0;készpénz
1383;12/17/2016 12:30:00 PM;240;0;6;2;bankkártya
7810;12/17/2016 1:15:00 PM;60;0;0.01;0;készpénz
1385;12/17/2016 3:30:00 PM;1980;0;21;0;készpénz
7776;12/17/2016 4:00:00 PM;780;0;8.5;3;bankkártya
3014;12/17/2016 4:45:00 PM;420;0;5.75;4;bankkártya
3865;12/17/2016 4:45:00 PM;360;0;6.5;2;bankkártya
6562;12/17/2016 4:45:00 PM;360;0;5.75;0;készpénz
1587;12/17/2016 9:00:00 PM;2220;0;44.5;5;bankkártya
7992;12/17/2016 10:15:00 PM;3120;0;43.5;12;bankkártya
8117;12/17/2016 10:30:00 PM;600;0;7;0;készpénz
6094;12/17/2016 11:15:00 PM;480;0;6.25;0;készpénz
53;12/18/2016 1:15:00 AM;300;0;5.5;0;készpénz
3209;12/18/2016 5:30:00 AM;660;0;10;0;készpénz
1633;12/18/2016 11:00:00 AM;660;0;9.5;0;készpénz
7523;12/18/2016 3:00:00 PM;480;0;7;1;bankkártya
4680;12/18/2016 7:15:00 PM;480;0;6.75;0;készpénz
3089;12/19/2016 2:30:00 AM;240;0;6.25;2;bankkártya
1030;12/19/2016 9:15:00 AM;480;0;6.75;1;bankkártya
3721;12/19/2016 2:15:00 PM;720;0;9.5;0;készpénz
3773;12/19/2016 2:30:00 PM;480;0;6.5;0;készpénz
6989;12/19/2016 2:45:00 PM;300;0;5.25;0;készpénz
7257;12/19/2016 3:15:00 PM;840;0;9.25;0;készpénz
6407;12/19/2016 3:15:00 PM;180;0;4.75;0;készpénz
4653;12/19/2016 4:15:00 PM;600;0;7.5;2;bankkártya
4254;12/19/2016 5:30:00 PM;240;0;4.5;2;bankkártya
1736;12/19/2016 8:30:00 PM;180;0;4.5;2;bankkártya
6902;12/20/2016 2:45:00 AM;300;0;6.25;2;bankkártya
6016;12/20/2016 8:15:00 AM;660;0;20.1;0;ismeretlen
788;12/20/2016 8:45:00 AM;600;0;7.75;4.38;bankkártya
7375;12/20/2016 3:45:00 PM;480;0;6.25;0;készpénz
1989;12/20/2016 4:45:00 PM;300;0;5.75;0;készpénz
6923;12/20/2016 5:00:00 PM;240;0;4.25;0;készpénz
5475;12/20/2016 6:00:00 PM;300;0;5.5;0;készpénz
1261;12/20/2016 6:45:00 PM;600;0;7.25;1.5;bankkártya
5114;12/20/2016 7:30:00 PM;2040;0;32.25;8.05;bankkártya
1924;12/20/2016 7:30:00 PM;540;0;7.5;0;készpénz
8014;12/20/2016 9:30:00 PM;180;0;5;0;készpénz
602;12/20/2016 11:15:00 PM;1080;0;15.75;1;bankkártya
1460;12/21/2016 1:45:00 PM;900;0;9.25;0;készpénz
3017;12/21/2016 2:45:00 PM;120;0;4.5;2;bankkártya
7923;12/21/2016 4:30:00 PM;1620;0;21.5;0;készpénz
433;12/21/2016 5:15:00 PM;1020;0;18.25;0;készpénz
6744;12/21/2016 6:00:00 PM;1080;0;9.75;0;készpénz
3684;12/21/2016 7:15:00 PM;480;0;7;0;készpénz
451;12/21/2016 9:00:00 PM;420;0;6.75;2;bankkártya
4638;12/21/2016 11:00:00 PM;600;0;8.75;3;bankkártya
5357;12/22/2016 1:30:00 AM;660;0;10.5;1;bankkártya
8232;12/22/2016 1:00:00 PM;840;0;14.25;0;készpénz
2121;12/22/2016 2:15:00 PM;420;0;6.25;2;bankkártya
5729;12/22/2016 2:15:00 PM;240;0;4.75;0;készpénz
8193;12/22/2016 2:45:00 PM;780;0;8;2;bankkártya
8636;12/22/2016 5:30:00 PM;480;0;6.5;0;készpénz
8022;12/22/2016 5:45:00 PM;780;0;9.5;0;készpénz
1482;12/22/2016 5:45:00 PM;300;0;5.5;0;készpénz
2457;12/22/2016 8:00:00 PM;960;0;11;0;készpénz
4092;12/22/2016 11:30:00 PM;240;0;5.25;2;bankkártya
8232;12/23/2016 12:30:00 AM;540;0;12.25;0;készpénz
5406;12/23/2016 9:30:00 AM;360;0;6;0;készpénz
3899;12/23/2016 10:00:00 AM;1560;0;36.5;0;készpénz
6923;12/23/2016 11:30:00 AM;420;0;7.5;2;bankkártya
6086;12/23/2016 1:30:00 PM;1080;0;11.5;3.75;bankkártya
3594;12/23/2016 3:30:00 PM;2400;0;23.5;0;készpénz
8648;12/23/2016 4:15:00 PM;300;0;5.5;0;készpénz
6569;12/23/2016 4:45:00 PM;300;0;5.5;0;k�
